mdntf_no,drgnm_no,herb_name,representative_name,drgnm_raw
690,534,용안육,용안육,"용안육(龍眼肉), 룡안열매살"
690,534,룡안열매살,용안육,"용안육(龍眼肉), 룡안열매살"
691,537,우라지로가시(ウラジロガシ),우라지로가시(ウラジロガシ),우라지로가시(ウラジロガシ)
692,538,우방근,우방근,"우방근(牛蒡根), 악실근(惡實根), 서점근(鼠粘根), 우웡뿌리"
692,538,악실근,우방근,"우방근(牛蒡根), 악실근(惡實根), 서점근(鼠粘根), 우웡뿌리"
692,538,서점근,우방근,"우방근(牛蒡根), 악실근(惡實根), 서점근(鼠粘根), 우웡뿌리"
692,538,우웡뿌리,우방근,"우방근(牛蒡根), 악실근(惡實根), 서점근(鼠粘根), 우웡뿌리"
693,539,우방자,우방자,"우방자(牛蒡子), 우웡열매"
693,539,우웡열매,우방자,"우방자(牛蒡子), 우웡열매"
694,540,우방초,우방초,"우방초(牛蒡草), 우방경엽(牛蒡莖葉)"
694,540,우방경엽,우방초,"우방초(牛蒡草), 우방경엽(牛蒡莖葉)"
696,541,우슬,우슬,"우슬(牛膝), 쇠무릎풀뿌리"
696,541,쇠무릎풀뿌리,우슬,"우슬(牛膝), 쇠무릎풀뿌리"
697,542,우절,우절,"우절(藕節), 연근(蓮根), 련꽃뿌리, 련근"
697,542,연근,우절,"우절(藕節), 연근(蓮根), 련꽃뿌리, 련근"
697,542,련꽃뿌리,우절,"우절(藕節), 연근(蓮根), 련꽃뿌리, 련근"
697,542,련근,우절,"우절(藕節), 연근(蓮根), 련꽃뿌리, 련근"
698,543,우지,우지,우지(牛至)
699,545,욱리인,욱리인,"욱리인(郁李仁), 욱자(郁子), 이스라치씨"
699,545,욱자,욱리인,"욱리인(郁李仁), 욱자(郁子), 이스라치씨"
699,545,이스라치씨,욱리인,"욱리인(郁李仁), 욱자(郁子), 이스라치씨"
700,545,욱리인,욱리인,"욱리인(郁李仁), 욱자(郁子)"
700,545,욱자,욱리인,"욱리인(郁李仁), 욱자(郁子)"
701,545,욱리인,욱리인,"욱리인(郁李仁), 이스라치씨"
701,545,이스라치씨,욱리인,"욱리인(郁李仁), 이스라치씨"
702,546,운대자,운대자,"운대자(蕓薹子), 유채자(油菜子)"
702,546,유채자,운대자,"운대자(蕓薹子), 유채자(油菜子)"
703,547,채종유,채종유,채종유(菜種油)
704,549,울금,울금,울금(鬱金)
705,549,울금,울금,울금(鬱金)
706,549,울금,울금,울금(鬱金)
707,549,울금,울금,울금(鬱金)
709,552,원지,원지,"원지(遠志), 애기풀뿌리"
709,552,애기풀뿌리,원지,"원지(遠志), 애기풀뿌리"
710,552,원지,원지,원지(遠志)
711,556,원화,원화,"원화(芫花), 팥꽃나무꽃망울"
711,556,팥꽃나무꽃망울,원화,"원화(芫花), 팥꽃나무꽃망울"
712,154,달맞이꽃씨,달맞이꽃씨,달맞이꽃씨
713,155,달맞이꽃씨기름,달맞이꽃씨기름,"달맞이꽃씨기름,월견초유(月見草油)"
713,155,월견초유,달맞이꽃씨기름,"달맞이꽃씨기름,월견초유(月見草油)"
714,156,달맞이꽃종자 추출물,달맞이꽃종자 추출물,달맞이꽃종자 추출물
715,557,월계화,월계화,월계화(月季花)
716,558,월귤잎,월귤잎,"월귤잎, 월귤엽(越橘葉)"
716,558,월귤엽,월귤잎,"월귤잎, 월귤엽(越橘葉)"
717,559,위령선,위령선,"위령선(威靈仙), 철선련(鐵線連), 으아리뿌리"
717,559,철선련,위령선,"위령선(威靈仙), 철선련(鐵線連), 으아리뿌리"
717,559,으아리뿌리,위령선,"위령선(威靈仙), 철선련(鐵線連), 으아리뿌리"
718,559,위령선,위령선,"위령선(威靈仙), 철선련(鐵線連)"
718,559,철선련,위령선,"위령선(威靈仙), 철선련(鐵線連)"
719,559,위령선,위령선,"위령선(威靈仙), 철선련(鐵線連)"
719,559,철선련,위령선,"위령선(威靈仙), 철선련(鐵線連)"
720,559,위령선,위령선,"위령선(威靈仙), 으아리뿌리"
720,559,으아리뿌리,위령선,"위령선(威靈仙), 으아리뿌리"
721,560,위릉채,위릉채,"위릉채(委陵菜), 근두채(根頭菜), 딱지꽃뿌리"
721,560,근두채,위릉채,"위릉채(委陵菜), 근두채(根頭菜), 딱지꽃뿌리"
721,560,딱지꽃뿌리,위릉채,"위릉채(委陵菜), 근두채(根頭菜), 딱지꽃뿌리"
722,561,유기노,유기노,유기노(劉寄奴)
723,562,유백피,유백피,유백피(楡白皮)
724,563,유엽,유엽,"유엽(柳葉), 버들잎"
724,563,버들잎,유엽,"유엽(柳葉), 버들잎"
725,563,유엽,유엽,"유엽(柳葉), 버들잎"
725,563,버들잎,유엽,"유엽(柳葉), 버들잎"
726,563,유엽,유엽,"유엽(柳葉), 버들잎"
726,563,버들잎,유엽,"유엽(柳葉), 버들잎"
727,563,유엽,유엽,"유엽(柳葉), 버들잎"
727,563,버들잎,유엽,"유엽(柳葉), 버들잎"
728,564,유향,유향,유향(乳香)
729,565,육계,육계,"육계(肉桂), 계피(桂皮)"
729,565,계피,육계,"육계(肉桂), 계피(桂皮)"
730,567,육계유,육계유,"육계유(肉桂油), 계피유(桂皮油)"
730,567,계피유,육계유,"육계유(肉桂油), 계피유(桂皮油)"
731,568,육두구,육두구,"육두구(肉豆蔲), 육두구(肉豆䓻), 육두구씨"
731,568,육두구,육두구,"육두구(肉豆蔲), 육두구(肉豆䓻), 육두구씨"
731,568,육두구씨,육두구,"육두구(肉豆蔲), 육두구(肉豆䓻), 육두구씨"
732,570,육종용,육종용,육종용(肉蓯蓉)
733,756,판율각,판율각,판율각(板栗殼)
734,571,율모각,율모각,"율모각(栗毛殼), 밤송이집, 률모각"
734,571,밤송이집,율모각,"율모각(栗毛殼), 밤송이집, 률모각"
734,571,률모각,율모각,"율모각(栗毛殼), 밤송이집, 률모각"
735,572,율초,율초,"율초(葎草), 한삼덩굴잎, 률초"
735,572,한삼덩굴잎,율초,"율초(葎草), 한삼덩굴잎, 률초"
735,572,률초,율초,"율초(葎草), 한삼덩굴잎, 률초"
736,574,은시호,은시호,은시호(銀柴胡)
737,574,은시호,은시호,"은시호(銀柴胡), 대나물뿌리, 마디나물뿌리, 산은시호(山銀柴胡)"
737,574,대나물뿌리,은시호,"은시호(銀柴胡), 대나물뿌리, 마디나물뿌리, 산은시호(山銀柴胡)"
737,574,마디나물뿌리,은시호,"은시호(銀柴胡), 대나물뿌리, 마디나물뿌리, 산은시호(山銀柴胡)"
737,574,산은시호,은시호,"은시호(銀柴胡), 대나물뿌리, 마디나물뿌리, 산은시호(山銀柴胡)"
738,575,은행엽,은행엽,"은행엽(銀杏葉), 은행잎"
738,575,은행잎,은행엽,"은행엽(銀杏葉), 은행잎"
739,576,음양곽,음양곽,"음양곽(淫羊藿), 삼지구엽초, 팔팔이"
739,576,삼지구엽초,음양곽,"음양곽(淫羊藿), 삼지구엽초, 팔팔이"
739,576,팔팔이,음양곽,"음양곽(淫羊藿), 삼지구엽초, 팔팔이"
740,576,음양곽,음양곽,음양곽(淫羊藿)
741,576,음양곽,음양곽,음양곽(淫羊藿)
742,576,음양곽,음양곽,"음양곽(淫羊藿), 무산음양곽(巫山淫羊藿)"
742,576,무산음양곽,음양곽,"음양곽(淫羊藿), 무산음양곽(巫山淫羊藿)"
743,576,음양곽,음양곽,음양곽(淫羊藿)
744,577,의이인,의이인,"의이인(薏苡仁), 율무쌀"
744,577,율무쌀,의이인,"의이인(薏苡仁), 율무쌀"
745,579,이피,이피,"이피(李皮), 이근피(李根皮), 이근백피(李根白皮)"
745,579,이근피,이피,"이피(李皮), 이근피(李根皮), 이근백피(李根白皮)"
745,579,이근백피,이피,"이피(李皮), 이근피(李根皮), 이근백피(李根白皮)"
746,580,익모초,익모초,익모초(益母草)
747,581,익지,익지,익지(益智)
748,582,인도사목,인도사목,인도사목(印度蛇木)
749,583,인동,인동,"인동(忍冬), 인동등(忍冬藤), 인동덩굴"
749,583,인동등,인동,"인동(忍冬), 인동등(忍冬藤), 인동덩굴"
749,583,인동덩굴,인동,"인동(忍冬), 인동등(忍冬藤), 인동덩굴"
750,584,인삼,인삼,"인삼(人蔘), 고려인삼"
750,584,고려인삼,인삼,"인삼(人蔘), 고려인삼"
751,586,인삼엽,인삼엽,인삼엽(人蔘葉)
752,587,인진호,인진호,"인진호(茵蔯蒿), 인진(茵蔯)"
752,587,인진,인진호,"인진호(茵蔯蒿), 인진(茵蔯)"
753,587,인진호,인진호,"인진호(茵蔯蒿), 비쑥"
753,587,비쑥,인진호,"인진호(茵蔯蒿), 비쑥"
754,589,일엽추,일엽추,"일엽추(一葉萩), 싸리버들옻, 광대싸리"
754,589,싸리버들옻,일엽추,"일엽추(一葉萩), 싸리버들옻, 광대싸리"
754,589,광대싸리,일엽추,"일엽추(一葉萩), 싸리버들옻, 광대싸리"
755,590,일지황화,일지황화,일지황화(一枝黃花)
756,591,임자,임자,임자(荏子)
757,592,자괴화,자괴화,"자괴화(刺槐花), 아카시아꽃"
757,592,아카시아꽃,자괴화,"자괴화(刺槐花), 아카시아꽃"
758,594,자기관중,자기관중,자기관중(紫萁貫衆)
759,595,자단향,자단향,"자단향(紫檀香), 자단(紫檀)"
759,595,자단,자단향,"자단향(紫檀香), 자단(紫檀)"
760,596,자매과,자매과,자매과(刺玫果)
761,596,자매과,자매과,자매과(刺玫果)
762,596,자매과,자매과,자매과(刺玫果)
763,596,자매과,자매과,자매과(刺玫果)
764,597,자목,자목,자목(柘木)
765,598,자삼,자삼,"자삼(紫杉), 주목껍질, 적목"
765,598,주목껍질,자삼,"자삼(紫杉), 주목껍질, 적목"
765,598,적목,자삼,"자삼(紫杉), 주목껍질, 적목"
766,603,자소경,자소경,자소경(紫蘇梗)
767,604,자소엽,자소엽,"자소엽(紫蘇葉), 소엽(蘇葉), 차조기"
767,604,소엽,자소엽,"자소엽(紫蘇葉), 소엽(蘇葉), 차조기"
767,604,차조기,자소엽,"자소엽(紫蘇葉), 소엽(蘇葉), 차조기"
768,605,자소자,자소자,"자소자(紫蘇子), 소자(蘇子), 차조기열매"
768,605,소자,자소자,"자소자(紫蘇子), 소자(蘇子), 차조기열매"
768,605,차조기열매,자소자,"자소자(紫蘇子), 소자(蘇子), 차조기열매"
769,606,자실,자실,"자실(梓實), 향오동열매"
769,606,향오동열매,자실,"자실(梓實), 향오동열매"
770,608,자오가,자오가,"자오가(刺五加), 가시오갈피뿌리"
770,608,가시오갈피뿌리,자오가,"자오가(刺五加), 가시오갈피뿌리"
771,609,자완,자완,"자완(紫菀), 자원(紫苑), 개미취뿌리"
771,609,자원,자완,"자완(紫菀), 자원(紫苑), 개미취뿌리"
771,609,개미취뿌리,자완,"자완(紫菀), 자원(紫苑), 개미취뿌리"
772,610,자인삼,자인삼,"자인삼(刺人參), 땅두릅뿌리껍질, 곰두릅"
772,610,땅두릅뿌리껍질,자인삼,"자인삼(刺人參), 땅두릅뿌리껍질, 곰두릅"
772,610,곰두릅,자인삼,"자인삼(刺人參), 땅두릅뿌리껍질, 곰두릅"
773,593,자근,자근,"자근(紫根), 자초(紫草), 지치뿌리"
773,593,자초,자근,"자근(紫根), 자초(紫草), 지치뿌리"
773,593,지치뿌리,자근,"자근(紫根), 자초(紫草), 지치뿌리"
774,593,자근,자근,"자근(紫根), 자초(紫草)"
774,593,자초,자근,"자근(紫根), 자초(紫草)"
775,593,자근,자근,"자근(紫根), 자초(紫草)"
775,593,자초,자근,"자근(紫根), 자초(紫草)"
